location,latitude,longitude,status,investment_eur,company,tech,component
Billy-Berclau _ Douvrin,,,operational,850000000.0,ACC,battery,cell_manufacturing
Douai,50.3675677,3.0804641,announced,1300000000.0,AESC Envision,battery,cell_manufacturing
International Advanced Manufacturing Park,54.92555595,-1.477774134787026,announced,521999999.9999999,AESC Envision,battery,cell_manufacturing
Navalmoral de la Mata,39.8928306,-5.5401199,operational,1000000000.0,AESC Envision,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,actual,521999999.9999999,AESC Envision,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,announced,232000000.0,AESC Envision,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,announced,2088000000.0,AESC Envision,battery,cell_manufacturing
Dundee,56.4605938,-2.97019,announced,34900000.0,AMTE Power,battery,cell_manufacturing
Mosciano Sant' Angelo,42.7493491,13.8880309,announced,201500000.0,Aehra,zero_emission_vehicle,battery_vehicle_assembly
Mosciano Sant'Angelo,42.7493491,13.8880309,announced,1200000000.0,Aehra,zero_emission_vehicle,battery_vehicle_assembly
Bridgwater,51.1283378,-3.0037046,announced,2792000000.0,Agratas,battery,cell_manufacturing
Puriton,51.1705026,-2.9725725,announced,4640000000.0,Agratas,battery,cell_manufacturing
Darmstadt,49.8851869,8.6736295,operational,100000000.0,Akasol,battery,cell_manufacturing
Darmstadt,49.8851869,8.6736295,announced,174500000.0,Akasol,battery,cell_manufacturing
Brussel,50.8465573,4.351697,operational,967200000.0,Audi,zero_emission_vehicle,battery_vehicle_assembly
Böllinger Höfe,49.1789606,9.167642566842364,operational,8060000.0,Audi,zero_emission_vehicle,battery_vehicle_assembly
Turin,45.0677551,7.6824892,announced,1209000.0,Automobili Pininfarina,zero_emission_vehicle,battery_vehicle_assembly
Galați,45.4338215,28.0549395,announced,1400000000.0,Avesta Battery and Energy Engineering,battery,cell_manufacturing
Cowley,51.7313447,-1.2175301,announced,1612000000.0,BMW,zero_emission_vehicle,battery_vehicle_assembly
Debrecen,47.531399,21.6259782,operational,1209000000.0,BMW,zero_emission_vehicle,battery_vehicle_assembly
Regensburg,49.0195333,12.0974869,operational,8060000.0,BMW,zero_emission_vehicle,battery_vehicle_assembly
Karlstein,50.0443203,9.0337844,operational,1047000000.0,BMZ,battery,cell_manufacturing
Karlstein,50.0443203,9.0337844,actual,120000000.0,BMZ,battery,cell_manufacturing
Allonne,49.4047087,2.1134837,announced,10000000.0,BYD,zero_emission_vehicle,battery_vehicle_assembly
Komárom,47.7417349,18.1218256,operational,20000000.0,BYD,zero_emission_vehicle,battery_vehicle_assembly
Vitoria-Gasteiz,42.8465088,-2.6724025,announced,69800000.0,Basquevolt,battery,cell_manufacturing
Dübendorf,47.3969942,8.6185666,operational,2760000.0,Battrion,battery,battery_materials
Bro Tathan,51.4140513,-3.4339013,announced,1392000000.0,Britishvolt,battery,cell_manufacturing
Port of Sines,,,announced,1047000000.0,CALB,battery,cell_manufacturing
Sines,37.956549,-8.8689639,announced,2000000000.0,CALB,battery,cell_manufacturing
Arnstadt,50.8349097,10.9461479,operational,1800000000.0,CATL,battery,cell_manufacturing
Arnstadt,50.8349097,10.9461479,actual,977200000.0,CATL,battery,cell_manufacturing
Arnstadt,50.8349097,10.9461479,announced,6980000000.0,CATL,battery,cell_manufacturing
Debrecen,47.531399,21.6259782,announced,7340000000.0,CATL,battery,cell_manufacturing
Munich,48.1371079,11.5753822,announced,1675200000.0,CATL,battery,cell_manufacturing
Thueringia,50.3408448,11.1828245,actual,1800000000.0,CATL,battery,cell_manufacturing
Thuringia,50.9014721,11.0377839,operational,1800000000.0,CATL,battery,cell_manufacturing
Thuringia,50.9014721,11.0377839,actual,977200000.0,CATL,battery,cell_manufacturing
Turin,45.0677551,7.6824892,announced,139600.0,Comau,battery,cell_manufacturing
Debrecen,47.531399,21.6259782,announced,8100000000.0,Contemporary Amperex Technology Co. Limited (CATL),battery,cell_manufacturing
Itzehoe,53.919448,9.5172441,announced,60000000.0,Customcells,battery,cell_manufacturing
Bremen,53.0758196,8.8071646,operational,403000000.0,Daimler,zero_emission_vehicle,battery_vehicle_assembly
Winterthur,47.4991723,8.7291498,announced,11866.0,Designwerk,battery,cell_manufacturing
Leipzig,51.3406321,12.3747329,operational,48000000.0,Dräxlmaier,battery,module_assembly
Barcelona,41.3828939,2.1774322,announced,403000000.0,Ebro-EV Motors,zero_emission_vehicle,battery_vehicle_assembly
Göttingen,51.5328328,9.9351811,announced,241800000.0,ElectricBrands,zero_emission_vehicle,battery_vehicle_assembly
Stuttgart,48.7784485,9.1800132,announced,806000.0,Elextra,zero_emission_vehicle,battery_vehicle_assembly
Navalmoral de la Mata,39.8928306,-5.5401199,announced,1300000000.0,Envision AESC,battery,cell_manufacturing
Berlin,52.510885,13.3989367,announced,11284000.0,Eurabus,zero_emission_vehicle,battery_vehicle_assembly
Coventry,52.4081812,-1.510477,announced,1392000000.0,Eve Energy,battery,cell_manufacturing
Coventry,52.4081812,-1.510477,actual,4188000000.0,Eve Energy,battery,cell_manufacturing
Debrecen,47.531399,21.6259782,operational,1080000000.0,Eve Energy,battery,cell_manufacturing
Trollhättan,58.2827931,12.2908612,announced,346580000.0,Evergrande,zero_emission_vehicle,battery_vehicle_assembly
Bitterfeld,51.6239124,12.3301466,announced,600000000.0,Farasis Energy,battery,cell_manufacturing
Mirafiori,44.9344436,9.59685,operational,700000000.0,Fiat Chrysler,zero_emission_vehicle,battery_vehicle_assembly
Turin,45.0677551,7.6824892,operational,700000000.0,Fiat Chrysler,zero_emission_vehicle,battery_vehicle_assembly
Tychy,50.114397,18.9965933,operational,2119780000.0,Fiat Chrysler,zero_emission_vehicle,battery_vehicle_assembly
Tychy,50.114397,18.9965933,announced,3224000000.0,Fiat Chrysler,zero_emission_vehicle,battery_vehicle_assembly
Kotka,60.4674228,26.9450844,announced,1884600000.0,Finish Minerals Group,battery,cell_manufacturing
Kymenlaakso,60.7318529,27.08287442160486,announced,1884600000.0,Finnish Minerals Group,battery,cell_manufacturing
Vaasa,63.08182094999999,21.4798125222968,announced,733750000.0,Finnish Minerals Group,battery,battery_materials
Vaasa,63.08182094999999,21.4798125222968,actual,3668750000.0,Finnish Minerals Group,battery,battery_materials
Valencia,39.4697065,-0.3763353,announced,3000000000.0,Ford,zero_emission_vehicle,battery_vehicle_assembly
Chasseneuil-du-Poitou,46.6505634,0.3748389,operational,34000000.0,Forsee Power,battery,module_assembly
Poitiers,46.5802596,0.340196,operational,69800000.0,Forsee Power,battery,cell_manufacturing
Poitiers,46.5802596,0.340196,announced,279200000.0,Forsee Power,battery,cell_manufacturing
Giga Arctic,,,announced,3490000000.0,Freyr,battery,cell_manufacturing
Mo i Rana,66.3110969,14.1386991,actual,1445000000.0,Freyr,battery,cell_manufacturing
Mo i Rana,66.3110969,14.1386991,announced,13960000000.0,Freyr,battery,cell_manufacturing
Vaasa,63.0957722,21.6159187,announced,3155125000.0,Freyr,battery,battery_materials
Göttingen,51.5328328,9.9351811,operational,170000000.0,Gotion High Tech,battery,module_assembly
Salzgitter,52.1503721,10.3593147,announced,1396000000.0,Gotion High Tech,battery,cell_manufacturing
Voderady,48.2765255,17.559025,operational,6980000.0,Gotion InoBat Batteries,battery,cell_manufacturing
Voderady,48.2765255,17.559025,announced,698000000.0,Gotion InoBat Batteries,battery,cell_manufacturing
Šurany,48.0861055,18.1868344,announced,1396000000.0,Gotion InoBat Batteries,battery,cell_manufacturing
Munich,48.1371079,11.5753822,announced,1047000000.0,Hithium,battery,cell_manufacturing
Munich,48.1371079,11.5753822,operational,4886000000.0,Hithium,battery,cell_manufacturing
Czech plant,,,operational,241800000.0,Hyundai,zero_emission_vehicle,battery_vehicle_assembly
Nosovice,49.6606723,18.426381,operational,2821000000.0,Hyundai,zero_emission_vehicle,battery_vehicle_assembly
Goliath,52.6148632,-2.9079622,operational,324800.0,Ilika,battery,cell_manufacturing
Goliath,52.6148632,-2.9079622,announced,139600.0,Ilika,battery,cell_manufacturing
Romsey,50.9891396,-1.4999044,announced,9511999.999999998,Ilika,battery,cell_manufacturing
GigafactoryX,,,actual,68000000.0,Impact Clean Power Technology,battery,module_assembly
GigafactoryX,,,announced,170000000.0,Impact Clean Power Technology,battery,module_assembly
Hannover,52.3744779,9.7385532,operational,41880000.0,Impact Clean Power Technology,battery,cell_manufacturing
Hannover,52.3744779,9.7385532,announced,83760000.0,Impact Clean Power Technology,battery,cell_manufacturing
Pruszkow,52.1626141,20.8080199,announced,40800000.0,Impact Clean Power Technology,battery,module_assembly
Pruszkow,52.1626141,20.8080199,actual,136000000.0,Impact Clean Power Technology,battery,module_assembly
Warsaw,52.2337172,21.07143223563649,operational,29750000.0,Impact Clean Power Technology,battery,cell_manufacturing
Warsaw,52.2337172,21.07143223563649,announced,349000000.0,Impact Clean Power Technology,battery,cell_manufacturing
Berlin,52.510885,13.3989367,announced,1396000000.0,InoBat Auto,battery,cell_manufacturing
Bathgate,55.9009224,-3.6414828,announced,61200.0,Invinity Energy Systems,battery,module_assembly
Northern Italy,44.5235532,11.3919546,announced,3141000000.0,Italvolt,battery,cell_manufacturing
Scarmagno,45.384456,7.841119,announced,4000000000.0,Italvolt,battery,cell_manufacturing
Scarmagno,45.384456,7.841119,actual,4886000000.0,Italvolt,battery,cell_manufacturing
Nitra,48.31295,18.0894593,operational,1300000000.0,Jaguar Land Rover,zero_emission_vehicle,battery_vehicle_assembly
Ansty,52.445493,-1.4192537,operational,80600000.0,LEVC,zero_emission_vehicle,battery_vehicle_assembly
Coventry,52.4081812,-1.510477,operational,580000000.0,LEVC,zero_emission_vehicle,battery_vehicle_assembly
Coventry,52.4081812,-1.510477,announced,161200000.0,LEVC,zero_emission_vehicle,battery_vehicle_assembly
Biskupice Podgórne,51.0311258,16.8842434,operational,95000000.0,LG,battery,cell_manufacturing
Wroclaw,51.1089776,17.0326689,operational,1380000000.0,LG,battery,cell_manufacturing
Wroclaw,51.1089776,17.0326689,actual,571000000.0,LG,battery,cell_manufacturing
Wroclaw,51.1089776,17.0326689,announced,480000000.0,LG,battery,cell_manufacturing
Yverdon-les-Baines,,,operational,17000000.0,Leclanche,battery,module_assembly
Eindhoven,51.4392648,5.478633,actual,80600.0,Lightyear,zero_emission_vehicle,battery_vehicle_assembly
Eindhoven,51.4392648,5.478633,operational,725400.0,Lightyear,zero_emission_vehicle,battery_vehicle_assembly
Turin,45.0677551,7.6824892,operational,806000.0,Local Motors,zero_emission_vehicle,battery_vehicle_assembly
Coventry,52.4081812,-1.510477,operational,81200000.0,London Electric Vehicle Company,zero_emission_vehicle,battery_vehicle_assembly
Ansty,52.445493,-1.4192537,operational,348000000.0,London Taxi Company,zero_emission_vehicle,battery_vehicle_assembly
Graz,47.0708678,15.4382786,operational,450000000.0,Magna,zero_emission_vehicle,battery_vehicle_assembly
Graz,47.0708678,15.4382786,announced,1209000000.0,Magna,zero_emission_vehicle,battery_vehicle_assembly
Bremen,53.0758196,8.8071646,operational,806000.0,Mercedes-Benz,zero_emission_vehicle,battery_vehicle_assembly
Bremen,53.0758196,8.8071646,announced,1612000.0,Mercedes-Benz,zero_emission_vehicle,battery_vehicle_assembly
Fréjus,43.4330308,6.7360182,operational,60450000.0,Micro Mobility,zero_emission_vehicle,battery_vehicle_assembly
Turin,45.0677551,7.6824892,operational,60450000.0,Micro Mobility,zero_emission_vehicle,battery_vehicle_assembly
Ludwigsfelde,52.3016096,13.2610163,operational,50000000.0,Microvast,battery,module_assembly
Ludwigsfelde,52.3016096,13.2610163,actual,204000000.0,Microvast,battery,module_assembly
Arendal,58.42673005,8.94694911492874,announced,100000000.0,Morrow Batteries,battery,cell_manufacturing
East Kilbride,55.7601174,-4.1796401,operational,869999.9999999999,Munro Vehicles,zero_emission_vehicle,battery_vehicle_assembly
East Kilbride,55.7601174,-4.1796401,announced,2015000.0,Munro Vehicles,zero_emission_vehicle,battery_vehicle_assembly
Pompignac,44.85028,-0.43736,operational,34900000.0,Neogy,battery,cell_manufacturing
Berlin,52.510885,13.3989367,announced,4188000000.0,Northvolt,battery,cell_manufacturing
Borlänge,60.4856426,15.4234561,announced,7337500000.0,Northvolt,battery,battery_materials
Gdansk,54.42880315,18.79832701217957,announced,170000000.0,Northvolt,battery,module_assembly
Gdańsk,54.3482907,18.6540233,operational,935000000.0,Northvolt,battery,module_assembly
Gdańsk,54.3482907,18.6540233,announced,170000000.0,Northvolt,battery,module_assembly
Heide,54.1948848,9.0928251,announced,4500000000.0,Northvolt,battery,cell_manufacturing
Northern Germany,,,announced,4188000000.0,Northvolt,battery,cell_manufacturing
Northern Sweden,,,operational,2792000000.0,Northvolt,battery,cell_manufacturing
Northern Sweden,,,announced,2337500000.0,Northvolt,battery,cell_manufacturing
Northvolt Ett,64.73432875,21.08690379187087,operational,4188000000.0,Northvolt,battery,cell_manufacturing
Northvolt Ett gigafactory,,,announced,2792000000.0,Northvolt,battery,cell_manufacturing
Northvolt Ett gigafactory,,,operational,2337500000.0,Northvolt,battery,cell_manufacturing
Salzgitter,52.1503721,10.3593147,actual,1000000000.0,Northvolt,battery,cell_manufacturing
Salzgitter,52.1503721,10.3593147,announced,1675200000.0,Northvolt,battery,cell_manufacturing
Skellefteå,64.75,21.133333,operational,1116800000.0,Northvolt,battery,cell_manufacturing
Skellefteå,64.75,21.133333,actual,4250000000.0,Northvolt,battery,cell_manufacturing
Skellefteå,64.75,21.133333,announced,4188000000.0,Northvolt,battery,cell_manufacturing
Umeå,63.8256568,20.2630745,operational,558400000.0,Northvolt,battery,cell_manufacturing
Umeå,63.8256568,20.2630745,announced,1116800000.0,Northvolt,battery,cell_manufacturing
Kaiserslautern,49.4432174,7.7689951,announced,2000000000.0,Opel,battery,cell_manufacturing
Figueruelas,41.7661327,-1.1751849,announced,250000000.0,PSA Group,zero_emission_vehicle,battery_vehicle_assembly
Sochaux,47.5138641,6.8305344,announced,1500000000.0,PSA Group,zero_emission_vehicle,battery_vehicle_assembly
Sochaux,47.5138641,6.8305344,operational,200000000.0,PSA Group,zero_emission_vehicle,battery_vehicle_assembly
Gärtringen,48.6419208,8.9031632,announced,1000000000.0,Porsche,battery,cell_manufacturing
Heilbronn,49.142291,9.218655,announced,6980000.0,Porsche,battery,cell_manufacturing
Stuttgart,48.7784485,9.1800132,operational,700000000.0,Porsche,zero_emission_vehicle,battery_vehicle_assembly
Stuttgart,48.7784485,9.1800132,actual,250000000.0,Porsche,zero_emission_vehicle,battery_vehicle_assembly
Stuttgart,48.7784485,9.1800132,announced,483600000.0,Porsche,zero_emission_vehicle,battery_vehicle_assembly
Dunkirk,51.0347708,2.3772525,announced,5200000000.0,ProLogium,battery,cell_manufacturing
Douai,50.3675677,3.0804641,operational,550000000.0,Renault Group,zero_emission_vehicle,battery_vehicle_assembly
Maubeuge,50.2796417,3.9674127,announced,450000000.0,Renault Group,zero_emission_vehicle,battery_vehicle_assembly
Novo Mesto,45.8040475,15.1696684,announced,1209000000.0,Renault Group,zero_emission_vehicle,battery_vehicle_assembly
Novo Mesto,45.8040475,15.1696684,announced,1209000000.0,Revoz,zero_emission_vehicle,battery_vehicle_assembly
Veliko Trgovišće,46.0025312,15.8448908,operational,32240.0,Rimac Automobili,zero_emission_vehicle,battery_vehicle_assembly
near Zagreb,45.7106379,16.0601741,operational,1209000.0,Rimac Automobili,zero_emission_vehicle,battery_vehicle_assembly
Ivancsa,47.1473327,18.8311498,announced,1946500000.0,SK Group,battery,cell_manufacturing
Iváncsa,47.1473327,18.8311498,announced,1623000000.0,SK Group,battery,cell_manufacturing
Komárom,47.7417349,18.1218256,operational,1300000000.0,SK Group,battery,cell_manufacturing
Komárom,47.7417349,18.1218256,actual,700000000.0,SK Group,battery,cell_manufacturing
Kotka,60.4674228,26.9450844,announced,3490000000.0,SVOLT,battery,cell_manufacturing
Budapest,47.4978789,19.0402383,announced,60750000.0,Samsung,battery,cell_manufacturing
Budapest,47.4978789,19.0402383,actual,720000000.0,Samsung,battery,cell_manufacturing
Martorell,41.4769177,1.9283971,announced,3000000000.0,Seat,zero_emission_vehicle,battery_vehicle_assembly
Munich,48.1371079,11.5753822,announced,50000000.0,Sono Motors,zero_emission_vehicle,battery_vehicle_assembly
Trolhättan,,,announced,65000000.0,Sono Motors,zero_emission_vehicle,battery_vehicle_assembly
Pompignac,44.85028,-0.43736,announced,34000000.0,Startec Energy,battery,module_assembly
Mangualde,40.60354,-7.7656,operational,403000000.0,Stellantis Group,zero_emission_vehicle,battery_vehicle_assembly
Mirafiori,44.9344436,9.59685,announced,40000000.0,Stellantis Group,zero_emission_vehicle,battery_vehicle_assembly
Vigo,42.2376602,-8.7247205,announced,1466920000.0,Stellantis Group,zero_emission_vehicle,battery_vehicle_assembly
Zaragoza,41.6521342,-0.8809428,operational,354640000.0,Stellantis Group,zero_emission_vehicle,battery_vehicle_assembly
Bridgwater,51.1283378,-3.0037046,announced,4640000000.0,Tata Group,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,actual,4640000000.0,Tata Group,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,announced,2792000000.0,Tata Group,battery,cell_manufacturing
Berlin,52.510885,13.3989367,operational,5000000000.0,Tesla,battery,cell_manufacturing
Berlin,52.510885,13.3989367,operational,13960000000.0,Tesla,battery,cell_manufacturing
Berlin-Brandenburg,52.5091145,13.2755211,operational,3022500000.0,Tesla,zero_emission_vehicle,battery_vehicle_assembly
Tilburg,51.58561845,5.066061613136768,operational,3627000.0,Tesla,zero_emission_vehicle,battery_vehicle_assembly
Wittenberg,51.8666527,12.646761,operational,34000.0,Tesvolt,battery,module_assembly
Walloon,50.15454004999999,5.399359762971196,announced,241800000.0,Thunder Power,zero_emission_vehicle,battery_vehicle_assembly
Hauts-de-France,50.1024606,2.7247515,announced,48860000.0,Tiamat,battery,cell_manufacturing
Brussels,50.8465573,4.351697,announced,2015000000.0,Toyota,zero_emission_vehicle,battery_vehicle_assembly
Kolin,50.0288894,15.2011571,operational,2418000000.0,Toyota,zero_emission_vehicle,battery_vehicle_assembly
Nysa,50.4738029,17.3324733,operational,125000000.0,Umicore,battery,battery_materials
Nysa,50.4738029,17.3324733,announced,350000000.0,Umicore,battery,battery_materials
Landskrona,55.8698007,12.8296734,announced,3000000.0,Uniti,zero_emission_vehicle,battery_vehicle_assembly
V4Drive,,,announced,139600000.0,Varta,battery,cell_manufacturing
Douai,50.3675677,3.0804641,announced,1116800000.0,Verkor,battery,cell_manufacturing
